,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Cyclelife,cycle_log
0,-1.11E+00,-1.66E+00,-3.24E+00,-2.95E-01,-2.76E-01,-2.21E-02,-2.62E-04,2.35E+00,-5.61E-04,2.40E+00,2.36E+00,1.52E-01,2.34E+00,9.44E+01,34.712265,29.230637,1.26E+04,7.65E-03,7.65E-03,2.00E-03,3.30E+02,2.52E+00
1,-1.10E+00,-1.62E+00,-3.24E+00,-1.72E-01,-4.23E-01,-2.08E-02,-2.37E-04,2.35E+00,-5.20E-04,2.39E+00,2.36E+00,1.52E-01,2.34E+00,9.25E+01,31.691414,29.023619,1.26E+04,7.94E-03,7.94E-03,2.22E-03,3.16E+02,2.50E+00
2,-1.03E+00,-1.45E+00,-3.10E+00,-3.39E-01,-1.20E-01,-3.56E-02,-4.06E-04,2.35E+00,-6.64E-04,2.39E+00,2.36E+00,1.48E-01,2.32E+00,9.45E+01,34.654667,28.914812,1.31E+04,8.36E-03,8.36E-03,2.45E-03,3.94E+02,2.60E+00
3,-1.08E+00,-1.59E+00,-3.19E+00,-3.02E-01,-2.44E-01,-2.53E-02,-2.85E-04,2.33E+00,-5.63E-04,2.37E+00,2.34E+00,1.50E-01,2.32E+00,9.20E+01,36.053928,29.368095,1.26E+04,9.49E-03,9.49E-03,2.41E-03,3.15E+02,2.50E+00
4,-1.04E+00,-1.49E+00,-3.14E+00,-9.08E-02,-4.13E-01,-2.40E-02,-2.66E-04,2.35E+00,-5.67E-04,2.40E+00,2.36E+00,1.53E-01,2.34E+00,9.80E+01,37.128967,29.87781,1.26E+04,8.20E-03,8.20E-03,2.33E-03,3.36E+02,2.53E+00
5,-1.05E+00,-1.49E+00,-3.17E+00,-1.71E-01,-2.73E-01,-2.67E-02,-3.00E-04,2.33E+00,-5.47E-04,2.37E+00,2.34E+00,1.48E-01,2.32E+00,9.43E+01,38.47617,29.44138,1.24E+04,8.36E-03,8.36E-03,2.25E-03,3.66E+02,2.56E+00
6,-1.10E+00,-1.64E+00,-3.22E+00,-3.71E-01,-1.90E-01,-2.45E-02,-2.85E-04,2.35E+00,-5.58E-04,2.39E+00,2.36E+00,1.51E-01,2.34E+00,9.49E+01,37.208405,29.182228,1.23E+04,8.84E-03,8.84E-03,2.23E-03,3.38E+02,2.53E+00
7,-1.08E+00,-1.61E+00,-3.21E+00,-2.07E-01,-3.78E-01,-2.19E-02,-2.51E-04,2.35E+00,-5.24E-04,2.40E+00,2.36E+00,1.52E-01,2.34E+00,9.28E+01,37.49086,29.91865,1.26E+04,8.53E-03,8.53E-03,2.04E-03,3.42E+02,2.53E+00
8,-1.24E+00,-2.19E+00,-3.30E+00,7.63E-02,-1.04E+00,1.62E-02,2.23E-04,2.17E+00,-3.31E-04,2.24E+00,2.18E+00,1.75E-01,2.20E+00,9.73E+01,37.615559,29.948643,1.55E+04,8.67E-03,8.67E-03,2.86E-03,2.04E+02,2.31E+00
9,-1.10E+00,-1.61E+00,-3.22E+00,-2.81E-01,-2.39E-01,-2.36E-02,-2.65E-04,2.34E+00,-5.56E-04,2.38E+00,2.35E+00,1.50E-01,2.33E+00,9.54E+01,37.596226,30.30908,1.25E+04,8.27E-03,8.27E-03,2.04E-03,3.40E+02,2.53E+00
10,-1.13E+00,-1.63E+00,-3.23E+00,-7.30E-01,1.30E-02,-3.10E-02,-3.70E-04,2.34E+00,-5.97E-04,2.38E+00,2.34E+00,1.39E-01,2.32E+00,9.51E+01,33.972847,27.869812,1.31E+04,9.56E-03,9.56E-03,2.12E-03,3.86E+02,2.59E+00
11,-1.06E+00,-1.52E+00,-3.12E+00,-7.03E-02,-3.28E-01,-1.99E-02,-2.20E-04,2.34E+00,-5.46E-04,2.39E+00,2.35E+00,1.56E-01,2.33E+00,9.53E+01,36.62397,29.155989,1.26E+04,7.99E-03,7.99E-03,1.97E-03,4.00E+02,2.60E+00
12,-1.17E+00,-1.79E+00,-3.32E+00,-3.37E-01,-2.31E-01,-1.93E-02,-2.19E-04,2.34E+00,-5.14E-04,2.38E+00,2.35E+00,1.55E-01,2.33E+00,9.61E+01,39.010788,30.02223,1.29E+04,8.39E-03,8.39E-03,2.07E-03,4.08E+02,2.61E+00
13,-1.20E+00,-1.81E+00,-3.37E+00,-3.20E-01,-2.41E-01,-1.71E-02,-1.93E-04,2.34E+00,-4.92E-04,2.39E+00,2.35E+00,1.56E-01,2.34E+00,9.66E+01,35.575104,29.430504,1.49E+04,9.11E-03,9.11E-03,2.02E-03,4.82E+02,2.68E+00
14,-1.11E+00,-1.64E+00,-3.20E+00,-5.11E-01,-3.98E-02,-2.69E-02,-3.13E-04,2.34E+00,-6.12E-04,2.39E+00,2.35E+00,1.50E-01,2.32E+00,9.66E+01,37.553761,29.949514,1.14E+04,7.97E-03,7.97E-03,2.19E-03,3.72E+02,2.57E+00
15,-1.13E+00,-1.69E+00,-3.25E+00,-3.42E-01,-1.71E-01,-2.07E-02,-2.36E-04,2.33E+00,-5.26E-04,2.38E+00,2.34E+00,1.54E-01,2.33E+00,9.70E+01,40.031326,30.03739,1.39E+04,9.33E-03,9.33E-03,2.14E-03,4.01E+02,2.60E+00
